gulay,français
ùlè,tremper
k5r-müté,trente
pét£,tresser
0j0,tresser (le secco)
mûté,trois
lèng,trompe (éléphant)
bé,trou
bé : Kul=véhà,trou
ndori : M=ndort,ou dans termitière
mbètàù,"jouer; percé, être"
ingè,-ouver
bàa,ouver par terre
1-,1; vous
t5l,ler
käre,"1, une"
-kédf-màr,urine
ngir,vagin
kèe,"van, panier pour vanner"
künduü,vapeur
bur,varan
igà,vendre
dèe,venir
i,venir de; se lever
nél,vent
kèm,ventre
mèt,"verge, pénis"
ndusuü,vermoulu : être
kE,vers
ùm,verser
kuüubu,vêtement
da,viande
Pügé,vieillard
6e,llage
k5r-106,ngt
g00,siter
nd31,"_squeux, gluante"
kàlàng,te
à,ir
màdz-66,Français :
ndu,voix
Bègi,voler
tomo,vomir
gè,vouloir
sè-1I,üù | vous (acc.)
-s1,vous (oblique); votre
mba,"voyage; hôte, invité"
ndi{,"youyou, faire"
