daba,français
÷ûý :,karite tree
tûl,ll : to
ngö :,ndling : firewood
kùyä :,ife
m¡yº :,ife : throwing
gè®,ow : to
tà,language; speech
túdä,last a long time : to
ìgö :,laugh : to
¡y¼,leave [s.t.] : to
gèl,left side
tünä :,"lend, borrow : to"
kùßà :,leopard
bänj :,leprosy
töÑ,lick : to
tò,lie down : to
tìbò :,lion l
jô,"little, a"
kí£ :,lizard : type of
ngàrw¼y :,zard : type of
tí,cative marker
ngäl :,ng : to be
sáä :,ok for : to
ò,make porridge : to
jìngà :,male
ndò,male initiation
súk :,market
tüwä :,mat : type of
mº,me (independent form)
-»,me (obj. of prep.)
-«,me (obj. of verb)
îj,measure : to
dä,meat
÷á« :,medicine
dàn,middle m
mbà :,milk
tþy,millet : type of
wàä,millet : type of
nà£,"ss, to; to be missing"
"dáÿ,tÅç :",an : to
pátà,ney
ßèt :,nkey
nº,moon
bìï,mortar
kÇ,mother
tà,mouth
ngªy :,"much, many, a lot"
bèt,mud
ßè :,mushroom
tû,name
kút-gö :,nape
ngëg :,near
kôb :,neck; throat
màd-ßë,neighbor
bán :,net
kìj :,w : to be
jøn¬ :,ne
ká,ise
kôn,nose
à•,not
gòtó :,not be any : to
ßäl,nothing; empty; normal
kûr,number
lò,of
yùb,oil
nímá :,okra
ßúgá :,old person
dî,"on, in"
ká÷ä :,one o
bŸ :,only o
î® o,open : to
tág :,open : to be
ßülü,trich
jáng : Kul=nûfô,"her, another"
tégë :,"t, outside"
kîÿ,l
ngè,ner
kíßë :,ner
háy,ddle
pël,paddle : to
dà-jï,palm of hand
njälä,pants
mbëtë :,paper; book
gë,particle : plural marker
ùbä,pay : to
kƒrƒrƒ :,peanuts
tôl :,peel : to
mît :,penis
dèë,person
gòy,pestle
ùg,pinch : to
tò,pirogue
lò,ace; time
kî :,acenta
nòng :,ay : to
tô®,uck single feather : to
-ï,ural marker
ïyû,porcupine
bíyä :,porridge
kí-ngò® :,pot : clay
sòö :,pound to remove shell : to
mbé£ :,pour : to
òñg,pour : to
ndò :,poverty
mànd :,"pretty (girl, woman) : to be"
îg,"prevent, stop, refuse : to"
gät :,price
ùmbä,propose : to p
ndôr :,pull : to
wàs :,pumpkin
mbùt :,punctured
njïgö :,"rchase, buy : to"
ßï,s
îs :,t in a line : to
ùndä :,"t, place : to"
màm,thon
dÇ,ickly
njï,rain
ßàr,rainy season
ßàt,"raise, nourish : to"
yég :,"rat, mouse"
nïngá :,razor
kàs :,red : to be
gä :,reflect : to
nöj :,relatives
n¼y,"remain, stay : to"
î®,remove : to
bìs :,residue r
ndég :,"rest, remaining portion r"
tél,return : to
òñg :,rhinoceros
kîl,"ght side, right"
às :,pe : to be
jàng :,val
bä,ver
÷ób :,"road, path"
kúná :,rooster
ngìrà,roots
kùlä :,rope
ndùm :,rotten : to be
ngûd :,running
ör,"saliva, spit"
kàt :,salt
ngá®-köy :,sand
tª,sauce
èl s,say : to
njïjá :,scars
gƒnŸy :,scorpion
òö,e : to
kö,ed of
kä,ll : to
tübä :,"nd : away, to"
ùlà,send : to
gäng :,separate : to
kór,sesame
més-jöó÷ :,seven
ù®,sew : to
njíl :,shade; spirit
yék,shake : to
àt,sharp : to be
tôl,sharpen : to
bàt :,sheep
ngô :,shell
käs :,shin
njílö :,shine : to s
pörö,shoes
gîj :,short : to be
dî-bäg :,shoulder
nç :,"out, cry out : to"
tûj,ow : to
ndùlë,rivel up : to
nònd :,bling
mÅy,ckness
bò,de
wá÷,sister-in-law
ìnjì,sit : to
m¡hª :,six
ndä© :,"skin, hide"
dîrä :,sky
ßè® :,slave
ndùlë,sleep : to
mbàt :,"slight, thin : to be"
jô,small : to be
òt,smell : to
sà,smoke s
sü,smoke : to
lï,snake
kí-dìsó :,sneeze
pä,ng
mä• :,rcerer
màs :,ur tasting : to be
nìngà :,ear
käy,"split, divide, share : to"
ká-gè® :,spoon : wooden
rïbû :,squash : type of
ndàm :,squirrel : type of
kád :,stalk :
÷à,stand : to
kø-mþ :,star
ßòg :,steal s
îs,"stick : into, to"
bùr,ir : to
kèm,omach
mbà£ :,"one, pebble, mountain"
"käg-njì,mbätä",ool
dùbà,op : to
túdá-yª :,"story, tale"
tôg :,strength
òng,strong : to be
dàb :,structure for drying grain
ndóö :,"study, learn, read : to"
jïg :,stump
ìl,suck : to
nëÑg :,suck : to
njíb,"suck, kiss : to"
kôsí :,sugar cane
kàd :,sun
tîÿ s,surpass : to
ùr,swallow : to s
tòt :,sweat; to sweat t
ùtà t,sweep : to
rëp :,eet : to be
bängàw :,eet potato
tíï,ell up : to
ßòng :,il
tàä,ke : to
ùn,take : to
màs :,tamarind tree
nº,taste : to
nè£,taste good to (s.o.) : to
