french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
nfier,65,65,,,,,,,655,,,,,65h5
confier un travail,ndèe,ndèe,,ndégx,ndèe,,,ndè y,,ndèy,,,,
conseiller,d3i,,d],djà,,3y5,t5j7,ndS j{,3j#,djÈ,gér£ys,nds jt,dj+,
consoler; bercer; tromper,g61,g61,,"g610, gél",gèr,,g61,gé1,,gé1,g61,gé61,g61l,g61
conte,sû,f-sû,,sû,süû,; €,sû,£-sû,süûu,tà-sû,sû,sû,sûu,
convoiter,ndEngs,ndængs,,nd#ngs,ndings,,nj1nga,njinga,ndinga/ndinge,ndings,,ndinga,nd+nga,
copain,màd#,màd#,,màd#,màd#,,njè-mar,küra-màr,màd#,,màadx,màr,màd,màd#
coq,küns,küûns,,küns,küre,,küra,küra,k£ré,küns,k£rs-kænjé : N9T=-kéré,kûra,k£rà,
"coquille, écaille, écorce",ng$y,ng6y,ng$,ng6y,ng,,ng$,ng6y,ng$$,,,,,
- Langues Sara,,,,,,,,,,,ng%,ngéy,ngéà,ng5hs
corbeau,käégà,kägàa,,kéga,gèàé-ga,,i-gàé,£-gàa,,gä-gàà,kô-ga4,gägà,kéa,kéhà
corde,kùls,kùüls,,kùls,kùls,,küla,Kkù13 : Mh=kÈ13,,kù1s,kè15 : Ng9T-kila,kùl1a,kè1a,
corne,gàji,gàjà,gà),gàji,gàjà,,gàji,gàji,gàjà,gàjà,gàji,gàji:Sr-=gàjà,,gàjà
corps,r5,rs5,da-r5,da-rs,ra,ys5,rsS : Kul=ys5,da-r5,ro,r5,r9,da-rs,rs,r0
côté de: à,kàdi,kàdi,,kàdi,kàdi,kàj0,kär,mb$r,kàdi,kàdi,kàdi : NgT-kàdi,kàr,kàdà,
"côté, poitrine",kàdài,,bô,kàdi,kàdi,,bà-kàr : Kul=haj0,kèàr,kàdi,kàdi,kàdi,kàr,kàdà,kàdà
coton,büy,büy,,büy,büûy,nàlwé,bi,bi,bù Î,büy,kübz,bi,kub+,kübE
cou; gorge,m£ndz,ménd#,k$b,mindx,k$éb#,mindi,gést,géb#,k$$,mind#,k$,"gébz, gésx","k$3,minai",
couché : être,t0,to,to,to,to,nday,to,Et0,,to,to,to,tù,to
coude,kàèm-si1-)1,s#1,ki1-i1,kil,k{l-jr,,ki-k{l-jt,,kil,sil-j1,kil,kil,kfi,
coudre,ùu,ûûu : Dh=ùr,,ùr,ùr,ùy,ùru,ùrû,,ùu,Ùùr,ùr,ùr,ùr
couleurs; dessin; lignes,Bä1,b41,,Bél,ndajé,,,,k£ré,ndaj#,bél,ndaji:Ssr-bâil,,k£dé
couper,ijè,ijè,ijà,ùjè,ùjè,jàhà,ùjà,ùn)jà,jà,ijè,ijè,ùnjà,ijà,+jà
couper en morceaux (les os),,3jà4g#,,,,,,,jà4g#,jàâkx,,,jéng,
"uper, hacher",t£gs,t£igs,tügé,tügs,,ùügà,tüka,tüga : Mh=gà,,tügs,ègè : Ng9T=-igà,tüûga,igà,
"urber, plier",ùd#,,,,binds,,,,bènda,raté,bènds,,bèinda,
"urge non-comestible, esp.",,,,$i-gowérx,,,,£-gèbérs : Mh=gowûr,,g5b£rs,,gèbérs,,
urgette : petite,ruws,r+bs,r1bs : Gor-=ruüuws,,,,,r1ya,rüwa,r1bs,,r1ya,r+#ba,
urse; courir,ng5d#,ngod#,ng5d,ngod#,ngod#,,ng5r,ng5d#,,ng5d#,ngodx,ngodx,ngodx,ng5d#
urt : être,gdji,gà;jà,g3)j,gàjE,gàji,ründü,qgà;i,"g93;jà,",gdji,gd;jà,gindz : NJT=g9jà,g3i,gindz,
uteau,Kkiys,kiys,,kiys,kùys,Kkù ya,ki ya,kiya,,kiys,kiys,kiya,kivya,
uteau de jet,miys,"gôngzrà,",m]ya,miys,mi yS : KEN=bIKkD,,miya,miya,,,,,,
Français :,,,,,,,,,mi ya,miys,miysS,bäém,mi y,
couvercle du grenier,,kébe-tà-dàm,,,,,,,t£6o,k6b#,k6bo,,kübs,
"cracher; crache, salive",t1iw,trbz,,tEw,tIibz,t1l,,,t1iw,,,t1b1,t1b#,
craindre; peur,5s Î : Ba=65 Î,,Boi,66Î,bs Î,belé,BE {,BS {,65i,Bs Î,65Î:NgT-651,6s Î : sr=b5i,,
crapaud,£-ngàgi-d1,kàz,Kkèàr,kèn,kàra,,$-nginay,£-bôdéro,kàr,ngébètrè,kèra-bôté,ngir-bèdirè,kèra,kàr
crépir,,,,,tiyé,,,rong#,d0,,lông,,ù,
