french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
Kul=ddgà-jà-hàré,,,,,,,,ddgi-giré-kéra,kilé-gidi-k£-k£ra,ddgi-gid-é-kâre,kùdti-gidi-kégrm,dôg-gir-é-kâra,kèt-gidi-kégt,
eille,mb1,mb1 : Do=mbt,,mb1,mb1,mb1,mb1 : Kul=mv1,mb1,mb1,mb1,mb1,mb1,mb1,
phelin,s+ngs,s?ngs,k1ngs,sEngs,k1ings,nüunga,s1nga : Kul=n5ngo,"singä, kingaäa",kænga,s1ings,k?ngs,singa,kingo,k+ngs
seille,dà,ré,dä4,dé,dä,yii,dé,ir1,yir,yf,yir,Îirt,yir,
Français :,,,,,,,,dé : Mh=dé,,dé,dé,däà,rà,dé
ourébi,,wal,,,,wale,,àrkàs,wal,wal,wal,,,wal
outil pour graver,,,,,,,,,gèrè,dù,,,gèrè,
ouvert,tâg#,tâgiré,täg,tégzra,wé,,tâk#,täâg#,tàgi,"tâégx, tèe",tèe,tég#,wôy,
ouvrir,tèe,tèe,Ôr,tèe,tèe,tée,tèe : Kul=te,tè,tèe,tèe,tèe,tèe,tèe,tèhe
pagaie,käy,kàây,häy,hàây,häy,häÿ,häy,häây,häy,hày,häy,häy,häÿ,
pagayer,151,151,pel,ns1,ns1l,,1s1,1S1,,1S1,nel,1el,nel,
pain,mépà,mépà,mäpà,mäapà,mäpé,mäpà,mbs,mép.,mäpà,mäpà,mépà,mäpà,mâapà,
pangolin,mèar-mangâ,màarmängä,,,màarè-mâno,yükà,,màar-mângä,màri-mângé,màr-mäangà,màèr-mâang,màar-mâangä,,
panier (pour pêcher),,,,,,,,kôro,,kor,,Kkoôr,,
"panier, sorte de",kàrè,kàrè,,kàrà,jängä,,kàrè,kàrè-bf,;4ng,kàärè,dob#,kàrè,jäng,
pantalons,,njala,njala,njala,njala,,njäla,pändà1o,njala,,njala,njälalä,njala,
panthère,kàgà,kàgà,,kàgà,kàk,kàbà,kàki,kàgi,kàgi,kàgi,kàgi,kàgi,kàgà,
papier; livre,mbete,mbste,,mbete,màaktuüb#,,mbete,mbidi : Mh=mbete,,mbete,mbete,mbede,maktuüub#,
papillon,£-1èbe,£-14-bè8,,$-lèwe,béd-bs y,kékéBE,üma,,,säbèle,k£-leti-bére,ébe,bèl-béi,
parce que,mba,tà-d5,kit5,mba-ki-k£,,1ô0hà-ré,mba-tà-10,mba,kÈt5-kàd#,d5-tàlè,tam-kàd#,mba-tà,todo,
pareil : être,to,tsk£,ti,toké,titz,,tokü,togé,titz,titz,titz,togf,titz,tit#
"parents, famille",n0j)+,n0)#,n6)j,n0)#,nùju,,nùju : Kul=haäfa,nùj1,,nüj#,ngè : N9T=n0j#,"ndj1,nû)j1","gir-kdji,ngè",
paresse,dàw,dàbà,,dàw,dàbà,ÈE,dàbà,dàbà,ngèe,dàbà,yày,ro5m,yày,
parole,tà,tà,,tà,tà,hàa,tàr,tàr : M=tàa,,Béy-täé,nàjz,tàr,nàj+,
partager,Kkay,gaya,,kaäy,n0b6,,käy,käy,,kay,nuüubo,käy,keng,
partir,dt},ÔtÀ,,,ôti,,,ddË,t9ÿ,,,nddy,,
"pas, ne ... pas",à Î,à {,à Î,è {,lé,,ànñg,àñg,àÎ,à Î,àlé,è {,àf,à Î
passer sur le feu,yolè,yolè,,,,,,yôlè : Mh=tùlo,,yolè,,yôlè,gire,
patate douce,bangàw,bangàw,,,,,,,,,,,,
pe,,,baängàw,bangàäw,bängàw,bangàw,baängàw,bangàw,bangàw,b5ngdw,bSngà,bangäw,bangàw,bängàw
ume,,dà-j1,dà-jt,,dà-11,,,dàb}là,dàa-j1:Nar-dàa-j1,,,dàämlà-it,,
iuvreté,nd00,ndoo,ndo,ndû0,nddo,nàhà,ndoo,ndÔ0 : Mh=ndo06,,ndoo,nd00,ndoo,ndo0o,
yer,Ègs,ègs : Do=ùba,,ùgs,ùgs,ùba,küka,ùga,"ba, ga",ùgs,Ègs,ùga,iga,
au,ngxrs,ngzxrs,,ng#rs,ngire,,ngira,ng1ra,ngzra,ngirs,ng#rs,ng1ira,ng#ra,-bomb#
"‘au, cuir",ndaà,ndaà,,ndaf,ndaf,ndää,ndaf,ndaf,,ndaä,ndaf,ndaf,ndaf,ndaf
cheur,mbàw,mbàw,ngè-ndo-kan)j,mbàw,mbàw,,mbàw,mbàw,nâw,mbdw,näéw,mbàw,"név,",ndo
peler,,,,,ndi ye,,,,,téy,,,nglya,
pénétrer dans l'eau,èn,èn,,ùn,èn,àn1,èn,èn,ùn,èn,ùdà,èn,ûn,
pénis,bsr,bsr,,,,,,bS rs,bär,,,bsn,,
perche pour cueillir,,,,,,gS,,käg:-kün;à,koông,,kong,,,
perdrix,kèrè,,,kèrè,kàri,,kèrè,kèrt,kèrè,sènè,kèrwè,kèrè,kèrwèy,
père,bàw,bàiw,bürà,bài,bà5,bi yà,bS : Kul=vi y,bS,b35,b3bE,bb#,bàñ,bôbE,bèrà
perles,mèdi,mèdi,mèd,mèdi,mèdà,KkSBÈ-KÜLE,mèr,mèr,,mèdà,mèdè,mèr,mèd,
personne,dèw,dèw,dèe,dèe,dd0,dèbe,dèi : Kul=dèBe,dèvw,dèe,doôi,dèe,dèw,dèe,
personne avec le même nom,,,,,kdyé : Mh=nddÿ,,,,,ndoÿ,,,ndoÿ,
petit :être,duû,duû,j$,ndé,"duû, ndéy",66,,"nà, njé",duû,,duû,,,
- Langues Sara,,,,,,,,,,,,"duüû, läm",duû,béhé
"peu, un peu",ndé,j41 : Do=i,,ndé,ndéy,55ÿ,sé : Kul=y5sén,njé,s1i,sé,sé,b61,séy,sé
phacochère,bèr,bèr,bèd,bôr,bèr,bàrü,bèr,bèrs : Mh=bèr,,bèr,bôr-k£-wàà,bèr,bôr,bôr
"pied, jambe",njà,njà,njà,n)jà,n)jà,njàa,gà1 : Kul=njà,gdl,n)jà,njà,njà,qàl,njà,
piège,mbàng+ra,gum,,gum,gqum,gomb1,m-mbàrè,gunm,,gum,gum,qum,gqum,gumb#
pièrre de divination,,,,,,,,,wôr,è,,,wor,
"pigeon, tourterelle",d$é,dé,dér,dér,dér,déè,dér,£-dér,,dé,dér,dér,dér,dér
piler,ùr,,,ùr,,,,ùrù,ùr,ùûr,ùr,ùr,ùr,
piler (pour enlever le son),sèw,sèbà,s00,s00,s00,,sùwa,sèbè,,sèbà,sûws,sèbà,sdb#,
pilon,goy,goy,goy,gùy,goy,goo,gùy,gày : Mh=gdy,,gy,gdy,gày,gdy,
piment,j41,dûgà,ndéngé,j)4l,käb#,sftà,j41l,Èida,sita,käb#,kâré,"kaäba,",kâra,
"pincer, gratter",ùgi,mène,ùg,ùgè,ùgù,ùgù,ùkù,ùgù,,ùgi,ùgi,ùgù,ùgà,
pintade,tànji,tànji,tàn),tànji,tànji,tànjà,tànji,tènji,tànji,tànji,tènji,tànji,tànjà,
pipe,t06,td6,,tôf,,giro-sèli,£-türû,bày-sà,tôf,to6,,bày-sà,gdl-mâang,
piquer,dsÈi,dsi : Dh=3s,,dsE,dsE,ùdù,3sà,dsÈ : Mh=dsi,,dsÈ,dsÈ,dsi,dsi,wèsi
piquer,tüg£,tüug#,,,,,,,tügx,,,,,
pirogue,t0,to,to,tow,to,toho,to,to : Mh=too,,to,t0,to,too,tohù
"ace de, traces de",tôw,té,,bàng#,go,,türu,kf13,,té,gôti,dà-gà1,bông,
acenta,kéy-ngon,kày,Kk3,kdy,kd,nèEe,k3y3,kdwè,,kdy,kôw,k3 y,kà,
"aie, blessure",do,do,do,do,do,dÔo,dù : Kul=diyù : Mob=ddo,,,dàù,do,do,dù,dù
aire,nè1,nèl : Do=nèl,,nèl,nèl,,nèl,1à1] : Mh=nèl,,nèl,nèl,1è1,nèl,nèl
"anche, bois plat",,,,,,,,,bèr,bègèrè,,,bàr,
eurer,n9,n0,,n0,n0©,,n0 : Kul=n5,no,nGo,no,n©,no,no,s5m
eurer à sanglots,,,,,,,,,"si1,sik#, s{1",sik#,,,,
uie,nd1,nd1,nj1,nd1,ndi,nj1,n)1:Kul=ya,nj1,nd1i,nd1,"nd1i, màan",nd1,man,nd1
plume,bèl,bèl : Do=bèl,,bèl,bèl,bèlé,bèT,bèT,,bè],bèl,bèl,bèl,bèl
poche,,,,,,kôÿ,,püsüû,bädi-küb#,,,,,pésà
poil,bil,biI,bil,bil,bil,bèlé,bit,,bit,bèT,bit,bit,bil,bir
pois de terre,wüûl,wûl,wûl-ndà,wüûl,wüûl,,wüûl-boô,ûl-bo,,bè-B4,wüûl,Bül-ndà,wûl,
poison,kèngi,kèngi,,kèng#,kèng,,,té,wong,kings,kègè,màst,kông,
poisson,känj,känjx,kan)j,kanjz,känj+:KbN-kanje,,känj+:Kul=hanje,känji,känjz,känj+,kan)jt,kan)ji,kaän)j+,
poisson : capitaine,gàm-sa,kèsèngà,,,,mono-känje,£-gämäsaä,kèm-déy,kèsèng,kèm-ndéy,kèsèng,kèm-nd5y,kèsèng,-kèsèng
poisson :esp. de,,,,,,,,yüwà,,wi yà,,,,
poisson :esp. de,,,tib : KoN=t£6i,,,,,,tiw,siw,,,,
poisson :esp. de,,,,,,,,,wüd£,wüdx,,,,
poisson :esp. de,,dS Î,,,ds Î,,,,doi,d8 Î,,ds Î,,
poitrine,gû,gü : Do=bà,,qüû,ngà-ndéb#,,nè-gû,"ké6,no-Kk6",güu,no-gûy,ngànj+,"sènè-kàr,",ngànjà,
pomme cannelle,,bdb£r5-m£ndz,,,mbdr,,mbèr,mbàrà,mbr,mbà,mbôr,mbôr,mbèr,mbèr
| pomme d'Adam,p6-m£ndr,£-gùÎ,j5r-k$b,jàm-méndém,pèr-k$bé,gÔle,,kônjôr,jdr-k$$,tSbz-minds,g0,ngàdingé,go-mindi,
pont,ndé,bäbirà,,,,,ndé,ndà : Mh=ndéa,,bàbèrà,,déi,ndéà,
porc-épic,1ys,+ys,1y9,1ys,wuüys,,ya,1 ya : Mh=yzwa,,1ys,mbinj#,1ya,mbinjà,
porte,tà-kéy,,tà-küû;,tà-k$éy,tà-kéy,,tà-kéy:Kul=tà-bitf,tà-déw,tà-déb#,"tà-kéy, tà-débx",tè-kûjr,tà-kéy,tà-küûjz,-tà-kûj#
porter,Ôtx#,Ôt#,ito,dtr,"dto, dy",it0,Ôto,ddo,to,0ts,dto,dd0,"dto,9y",)j-
porter (des habit),,95,,,95,,35,3,d0,,,,,
porter [habits],È1è,,ùlà,ùlè,ùlè,,"Kkd5,",,1à,ùlè,05,95,00,
poser à plat,Èinds,inds,ünda,inds,ùnds,inda,ùnda,ùnda,nda,inds,ènds,ünda,inda,66hé
"poser, incliner contre",,,,,nduns : Mh=nd£na,,,,,nduns,,,nd#na,
poteau tri fourchu,,,,,di rè,,,,,di rè,,,dirà,
pou,ng£$ss,ng£s5,ngisaä,ng£$ss,ngiss,ngisa,ngisa,ngisa,ngisa,ndiss,ng$s5,ngisa,ng£sa,
poulet,kinjé,kinjé,kün)jé,kinjé,künjé,kunjé,künjà:Kul=küunjé,kün)jé,kinjä,künjé,knjé,künjä,knjà,kæn)jà
ur que,,,,kàd#,1s,,kÈ-tà,mba,,kà,,mba,ya,tà
ur rien,kàre-bè,,,ndangé,kàre,,njà-bè,bà4-;jà3,ki-ndäñg,kàre-bè,ndañg,g#-ndanñg,ki-ndanñng,
ur; à cause de,mba-tà-18,tàds,,mba-tà,tèds : Mh=kÈtsS,,,,,ki-d5,tam-ya,mba,nàj#,-tam-ya
urquoi,mba-di,d5-rfi,t5-di,mba-di,tèds-df,,mba-tà-di,mba-df : Mh=kÈit5-df,,ki-d5-df,"nàj#-di,",mba-di,tam-ri,tam-di
urri : être,ndüûm,ndûm,ndüm,ndüm,ndûüm,,ndûm,ndùm,ndûm,ndùm,ndüûm,ndûüm,ndûm,
usser,ibè,,,,ûbè,,ùPà,ùPà : Mh=Bà,,,ità,,,
ussière,,bàäbür,,büû,,,,,sd$bürü,,,bébürü,,
ussière,bùû,bü : Do=bü,,bùû,bübüru,bàmbü,büm,bu,büu,kÔd#,,,,
Français :,,,,,,,,,,,büumbürü : NgT-büumbür,KkÔr,bümbür,
"premier, d'abord",dds4y,ddà-séy,,,dSséy,,dôngèr,dôngèr : M=dàsé,,"béy-ba4, kété",dètél : N9T=-ddsé,béd$f-b4,tàgà-dà,
prendre,tàa,tàa,taa,tàa,tàa,tàka,tàa,tà : M=tàa,,tàa,tàa,ta,tàa,-tàha
prendre,ùûn,ûn,ûn,ûn,ûn,,ùn,üûn,ùûn,ûn,ùn,ùn,ûn,wüûn
préparer la bouillie,té,tà,ù,tà,té,,tàé,tà,d0,tà,té,tà,t4,
presser avec doigts,,,,,,,,,sà,isè,,,isà,
"presser, forcer",0rè,oôrè,,mb#se,,,,drè,irè,,"èrè, mbére",odrè,,
"prêter, emprunter",tuüuns,t5no,,tüns,tüne,,tüna,tuüna,tÆna,tüns,t£ns,tüna,tzna,t#na
prix,gat#,gat#+,,gat+,gat+,käsa,"gat+, nàrè",gaäd#,gat#,gat#,gatt,gadx,gat#,-gat#
problème,tà,,,tà,tà,,tàr,,,tà,nàj#,tà,"tàa,nàj#",
proche,dèp}i,bàsi,ngeg,gSdx,ngèr,,ngôr-s{,dèbà,ngèr,mbS,ngôr,"dèbè,ng5si",ngdr,
"profond, être",èw,ù,ùr,ûW,èbà,wûlüu,ùrûù,ùrù,do,ù,lüû,ùr,lüûu,
profondeur,,,,,düngé,,,bI,bül,,bül,ngül-àma,bül,
proposer,d]i,,ümba,,,,,33i,mba,,,,nûn,
propriétaire,njè,njè,ngè,njè,njè,ki-6aka,njè,njè,ngè,njè,ngè,njè,ngè,ngè
propriétaire,£-6s,£ba,kiBe,Biys,küwé,,656,£65,,£-6a,küws,n;è,küwà,
puiser,ddi,,,ddi,ddi,,9rù,to,3d3/34dE,ddà,ddà,t0,ddi,
puits,bèl1è-màn,bôlè-maànñ,bild-màn,bàlè,bolè-màan,rèy,büwä-man,buwä-man,dèe,bdlè-màn,bôl1d-màn,bùlà-maàn,bil1dô-màñ,b+ilo-man | q
punaise des lits,,£-Bômo,,,55-63r,,£-65-65r,65r a,t£ya-b5r,£-Baà-bès,,,,
pus,$1,wüy,b1,B1,wüy,wüy,w1,wIi,bti,Bx,B1,y1,w1y,wi a
python,màm,mam,mam,mèm,l1-ngat,mamà,mam,mäm a,môm,mäm,mam,màm,màam,màm
quand,1d-k£,10-k#,1d-ngàà,1d-k£,1d-k£,,toké,,,1d-k£,1d-n Qu,10-g£,"dàn-n,1ù-nñ",
quand?,màté,,,,ldti-bày,,,,dingäyt#,,d£ngéy-t#,,réngéy-t# Cu,
quatre,s5,s$,s$,s6,s6,s536,s$ : Kul=s3$,s$,s$$,s$,s$,s6,s re,
"que, pour que",kàd#,kàd#,,kàd#,kàd#,,kàr,kàr,,kàd#,"kàdt, tam-kàd#",kàr,kàdz,KkàdE
"que, qui",$,,,é,é,Kk£,B4,Bä,hé,B4,ù,b4,ù,hé
"le, qui, ce que, ce qui",,,,ndùns,k#,,Kk£,,n,k£,n,g#$,n,
"1e, quoi",ɗ,rf,di,df,ɗi,,df,ɗf,di,di,ɗi,di,ri,ɗ
"iémander, solliciter (don)",,k3y,kà,kdy,k3,n;3Bè,k3y,kdwày,k93,kdy,gèdè,k3dy,gèdè,
eue,bôngi,mdng,Sèng,Bèngi,bông,kilé,Bông,Bèngi,bông,mdng,kÈ15,Bông,k:lé,bông
"ii, que",né,né,né,né,né,n4a,né,né : Mh=néa,k£,né,né,né,néa,néa
icines,ngèrè,,ngirà,ngèrè,ngirè,gigit,,ngirà,ngàrà,ngirè,ngèrè,ngirà,ngirà,ngèrà
"ramasser, prendre",3y,mbé,dy,dy,dy,,dy,ôd5,3y,dy,dy,"3y, ddo",dy,wûy
ramper (un enfant),àgi,àgà,àg,àgi,àgà,ndégs,àki : Kul=àlà,àgi,àgi,àgi,àgà,àgà,àgà,àgà
ramper (une plante),àlè,àlè,àl,àl à,àlè,àlà,àlè,àlè : Mh=àl,,àlè,àliyà,àle,àl,
rancune,bàa,bàa,bàa,gâàl,bàa,bäng,bà3,bàa,bàa,bà3,bàa,bàa,bàz,
"raser, se",ngèiss,ngèiss5,,ngèss,ndiss,,ngisa,gisa,ngisx,ndiss,,ndisa,ngèsa,disa
rasoir,y£ngs,y£ngs,,y{ngs,yingè,ninà,yfnga : Mh=yingä,,,br,yeng,yinga,yingä,
"rassasié, être",ndan,ndan,,ndan,ndat,,ndaän : Mh=ndaän,,,ndai,ndan,ndan,ndan,
rassembler,käw,käw,,kâw,k$b£,,mbü,,,,,,,
- Langues Sara,,,,,,,,mbé : Mh=kä,,kéw,käân,mb6,kéñ,kän
rat :esp. de,,,,,,,,läng#,läng,,yégr-tüub#,làng,,
rat :esp. de,,nèm,,,nim,ki-yimi,,£-nim,nim,nin,,nim,,
rat :esp. de,,,,,ngdyo,,,,njdy,büngèiràang,,,,
"rat, souris",yégE,yégz,yég,yégx,yégE,,yékE : Kul=kéBE,dég#,,yég#,yég#,yégx,yégE,
1 | rater; manquer,nàl,nàl : Do=nàl,,nàl,nàl,nàlä,1àI,1à1,,nàl,nàl,1àl,nàl,nàl
rattraper,,nag£,,,nar,,,,nag£,nag#,,,,
rayon de miel,,mbàa,,,,,,mbèrx,mbèr,,mbàl,,,mbàr
redresser,nd4jx,ndéj#,,,,,,"nd$i1,ndû;jt",mbéjx,,,nàr,,
redresser,,,,,ndä)j£,,,,ndéj#,ndäj#,,,ndàâj#,
\ | réfléchir,mèr,,gä,mèr,gir,,èj1,èj1,gaa,gfir,gîir,ènj1,gir,
refroidir,11ys,1:ys,,tür,,,,pé1,11ya,,,,,
refuser,mbat£,mbat#,,mbSt£,mbaté,,mbsté£,mbäd£ : Mob=mbeté,,mbat£,mbat#i,mbad#,mbaté,mbeté
remplir,dèsi,rèsà,dès,dèsi,dûsû,rèsù,dûsû,dûsù,,dûsi,ddsài :NgT-dèsi,dûsù,rdsi,
remuer,koré,koré,,,kore,,kor6,kor6,"küro, k:ro",külè,,kore,,
remuer,Pügülü : Do=bèr,,,koré,kûturu,,,längi,,kdtürûü,,gqudüru,,pée
rencontrer,,,,,ndÔt#,,,,,ndôd#,,,ndod#,
renvoyer; chasser,tüwe,tüuwo,,tuws,tubs,t565,tüba,"tüba, t5bx","tüwa, t+6ä",tübs,tEbs,tüba,t+ba,tzha
répandre une odeur,ètà,ètà: Dbh=ôt,,ètà,ètà,àtù,ètài,èndà,dtà,ètà,dti:NgT-Ôdtà,èndi,dtà,
‘pas sans sauce,,,,,süûtü : Mh=sûté,,,,,,,tüdü,,
‘pondre,ndigi,ndig,,ndigi,ndigà,,njiki,njigi,ndigi,ndigi,ndigi,"yàgidà,",ndigi,
:sidu,njè,bèisx,bis,yè,yè,,siyà,"yà, nàngà",bis#,yè,yè,bisx,k1yä,k5h$
spiration; repos; souffle,kès,kèS,kdo,kd6,kèb#,kàw,kèm,kèw,,kès,k00,kèms,kdo,koho
ste,nd$gz,g4,ndég,,yong-yong,ndäki,,gèsà,nd£gà,nd$ég#,,gèsx,,
2ster,này,này,này,này,này,,này,này,này,này,nèy,này,này,nàhà
tailler,,,,,,,,,sée,s$y,,,sée,
"veiller, se réveiller",ndél,ndél,ndél,ndél,ndél,ndu,ndél1,ndél,ndél,ndél,ndél,ndél1,ndél,ndél
"venir, rentrer; tourner",té1,tél,tél,tél,tél,télè,,,,,,,,
Français :,,,,,,,tél : Kul=ndélè,té.,tél,tél,tél,tél,téi,tél
rêver; rêve,n1,n1,n1,n1,n1i,n1,n1,n1,n1i,n1,n1,n1,n1,
rhinocéros,kàsi-bâànt,bèn,ông,,bèrnè,bàn,,gàji-bèr£,bàn,àsibàn1i,bène,"kàsi-bàri,",bèn,bènx
rhumatisme,,kagx,,kagz,,,,kGg+,kag#,kag+,,,,
rien; vide; normale,kàre,,bal,kàre,kàre,Kké,bàa,bàa,kàri,kàre,kàr1,kàr1,kàrli,kàr1
rincer,ùsi,sûk£,,sûku,sûku,süûk,sûku,sùgu,,sùk#,sùk#,sûqgü,sèk+E,
rire,kog#,kôg#,igo,kôgx,ùgo,tübo,kÔko,kôgo,go,kôgt,0g0,kôqt,"kègo,dgo",igo
rival,jàngi,jàngà,;àng,jàng,)jàng,,jàng,jàn,; àng,jàng,)jàng,jàng :Sr-=jàng,,j)àng
| | rônier,mà,mà,,màr,màr,,mar,màr,màr,mar,màr,mèàr,màr,mèàr
rosée,tàl,tàl : Do=tàl,,tàl,tàl,tàl10,tà1,tàlT,tàl,tàl,tàl : Ng9T=tàl,tàl,tàl,
". | roter, éructer",dài},dài},èng,dèji,gèdè,,dùù,dàji,gijè,dèjà,gijè,dèji,g+)jà,
rouge : être,kàsi,Kkèr,kàs,kàsi,kèr,àkè,kàsè : Kul=àkè,kèsi-g£-kàsi,kère,kàsi,kère,kàsi,kire,kèide
"route, chemin",déw,rébx,d6b,déw,déb#,r6bà,d6 : Kul=dévè,déw,,déb#,déb#,débé,r6bi,déb£
ruche,rôwe,rébe,,rôws,pôre,nüPa,ré6bo,béro,rübo,péne,r6b0,mbéro,h6ro,j)rng
rugueux : être,ngàmämà,,,ngà,ngirè,màangàrà,ngèndirè,hàngàyà,,ngd,ngd,ng,ngà,
sable,$f-nangira,,,"$-nangéira, £-nang£ra",yè-ngir,,,£-nàèngéira,néng,yéngzra,bümbürü,nég£ira sé,näng,
sable,,,,,yè-ngir,,£-néngéré,£-nàng£ra,ngér,yängzra,njärém-ngoy,nängéra,ngàr se,nàng
sac,651,561,661,B$1,séng,,B#1,B$1 : Mh=B$1,,mbù,ngông,6$1,ngông sa,ngông
sagaiïe : sorte de,,gàgi,,,gàg,,,ningà-mbüsu,gàgà se,gàgà,,,,
"sagaie, lance",nèngè,nèngè,ningà,ningè,ningè,ningà,ningà,ningà,ningà,ningè sé,nèingè : Ng9T=nèngà,ningà,ningà,
"saisir, prendre",ùwè,ûwè,ùwà,ùwè,üwè,ùkà,üwà,üwà,hà,dwè,ùwè,üwà,ihà,Èhà se
saison pluvieuse,Pàr,Pà : Do=bèr,,Pèàr,Bèàr,Fà,Pèr,Bàr : M=Bèr,,,Pèr,bàr |s,bèàr,ng5m
saison seche,nay-kàdi,näy-kàdi,bal,nay-kàdà,B6al,,neéy-kàr,nay-kàr,Ba1,näy-kàdi,6ä1l,näy-kàr,bal,
ileté,yor6,Bèbi,midé,yoré,yoré,Kk1r6,y5r6,yoré,yuré,yoré,horé,y1ré6,yoré,nüré
"live, crachat",yoro,,or,man-tà,yor,wE,wèrs,yiro,hor,ÿyoro,h5r,y1iro,h6r,hor
indale,,,,,,,,bÜba,,pâpé,p4pa,,,
ing,mÉésx,mésx,,mésE,mést,,mésx,mésx,,mést,môs#,mést,mosà,
ingsue,£-tSndx,£-tsndx,,,tsndx,taäl-nj1,£-tsndx,$-t5ndz,k£-tändz,téndé,tendz,téndx,tend*,
ins,s4,ànjz,sé,àn)r,ànj#,,,,,nàl,kànjr:NgT-kànj#,,kànj,
uce,téy,téy,té,nây,tér,térd,néy : Kul=tärd,n4y,,,,,,
Français :,,,,,,,,,t4a,nây,té,néy,téà,té
saut,bàl,bàl,,,bàl,,,,bàl,,bàl,täl,bàl,
sauterelle,,,,£da,gàri,yimi,£-gàbirà,£-sîm,k£-däa,gäbri:Nar-gäjé-sîir,,gâbirà,gàw,
"savoir, connaître",gèr,gès,gèr,gèr,gèr,gèy,gèr : Kul=GÈèE,gèrs,gèr,gèr,gèr,gèr,gèr,gèr
scolopendre,,ndànè,,,ndàri,ki-ndàm-ndà,,ndàrè,ndori,,ndàriyà,ndàrè,,
scorpion,£-ni,£-ni,,£-ni,küj£-nàng,güna,£-n£ii,i,"g£né, g£né",jfins,g£ns,i,kék£ràng,g£né
sec : être,tùti,tûti,,tûti,tütù,,Etùtù,tüdù,tùtà,tüti,tùti,tüdù,tûti,tùtà
sec : être (en surface),ày,àÿ,ày,ày,"ày, tütù",,ày,ày,,ày,ày,ày,ày,
secko,ndôg#,"mbog#,",ndog,ndûg#,,,,,,,,,,
- Langues Sara,,,,,ndègo,kiyè,ndoko : Kul=dèbo,ndoôgo,ndôg#,ndôg#,ndôg#,ndogo,ndô0g#,ndog#
secouer,yék#,,yék,s£ks,yéy,,yékxE,"yé : M=yée, vyékz",,yék#,s£kS,yégx,yée,yée
sein,mbà,mbà,mbà,mbà,mbà,mbäa,mbà,mbà,mbàa,mbà,mbà,mbà,mbà,mbà
sel,kàt#,kàt#,,kàtx,"kàt#,",kàta,kàt#,kàd=,kàt#,kàt=,kàt#,kàd#,kàt#,-kàt#
semoule,)£ngs,j)#ngs,) ingà,jings,;jfngs,ginjà,;fnga,jinga,; fngà,) ing,)£#ngs,jfnga,jingà,
separer,gangt,gangx,,gangx,gang,,gang,gang+,gang,gäang,gang,gang,gang,gäng
sept,s1ri,s#ri,més-)06ɗ,stri,séjr-mûté,mitik1j6,s1ri,s1ri,tèni-mità,s1ri,siri,s1ri,s1rf,s1ri
"serment; honneur, justice",,,,,,,,nàj1,nàj#,,nàj+#,nàj1,,
serpent,11,11 : Dbh=1,,11,11,-11,11 : Kul=yo,11,11i,11:Nar-1l1,,11,11,
"serpent, esp. de",,,,,,,,ndûbù : Mh=ndùbà,,ndübà,,ndûbù,ndùbà,ndübà
serrer,,,,,nàm,njùrt,,,nèima,,,,,
sésame,Kké,ké,kér,kér,kér,kéÿ,kér,kér,,ké,kôr,kér,két,kér
"seul, tout seul",kär,kâr,,kè-kâr,sè-kér-àù,,ki-kär,"kär,gè-kàr",ki-k£ra-ù,,k£-kôgE-:NgT-kère,kâri,kér,
seulement,)$ : Do=bè,,,pär,küûws : Kul=häyé,,,,kdo-n,dè,kéno-nàa,bàé,ngoÿ,kôonif
sève; glu,,,,tüw,no,Et1b1,,C1b1,t1w,,t1b#,,,
si,sé,sé,ké,ké,ké,,sé,sé,,sé,ké,sé,ké,
_fflet,,,,tow,,,,tSbE : Mh=tow,,,,,,
lure : esp. de,gür,ndèl,,,n;jil,,,,,ndèl,ndèl,,ndèl,
lure : esp. de,,gàgi,,,,gàgà,,gàgi,enlevent,gàgà : NJT=gàgà:Sr-gàgà,,,,
.nge,6èt#,bèt#,bèt,bètx,bètz,Bètt,Bètz,Bèas,bètx,bètE,$ètz:NgT-Bètz,$èdz,Bètz,
-roter,iw,,,èw:Kul=ûtt,,,,pèr,ibà,ibà,,n3,ùmb#,
.X,mèhé,mèhé,mihé,mèhé,mèté-mûté,mèké,misé : Kul=tikira,misé,k£-bdy-dèt#,mèhé,mèhé,misä,mèhé,mèhé
if,kènds,kinds,künda,kèinds,künds,kùnja,künda,künda,kènda,künds,kèndS,kùnda,kèinda,kindo-màn
ir,,,,1d-sd1$,1d-sèI,,,kimà-tàgf,1d-k£-sd1-é,,ld-sd1i,kümètàg£,1d-sd1-i,-1d-s31
soleil,kàdi,kàdi,kàd,kàdi,kàdi,,kàr : Kul=hàjà,kàr,kàdi,kàdi,mbàng : Ng9T=-kàdi,kàr,mbàng,
solitude,,kàl,,,,nè-kàlà,,,käàl,,kàl,,,
"sombre, nuit",,tèil,,til,til,silt,til,,til,til,til,til,til,til
somnoler,,,,,nS 1,,,léng#,tän,l1éng#,tün:Sr-tüûn,,,
son de mil,bèns,bins,,bÈns,bins,gù rà,£-Fèñg,bina,"bèina,bèna",bins,bèns,bina,bèina,bèna
"son, sa",-6,è,-à4,-nè,-é,,-é,-é,-à,-é,-ù,-é,-ù,-nù
sorcier,kèims,kèims,mä Î,"njè-kùmS, kûwé",küms,,küma,njè-mbe,kèima,njè-yo,kèims,nj)è-kûma,kèma,
sorgho,9dji,99j?,,gdj,gdjÀ,g33jè,mdksy,mùgay,,go;;,,,,
